age_group,gender,ethnicity,insurance,Group Size,Observed Mortality Rate,Avg Predicted Risk (Full Model),Observed Mortality (%),Avg Predicted Risk (%)
80+,F,WHITE,Private,62,0.3064516129032258,0.5324491488544274,30.6%,53.2%
<=49,M,UNKNOWN,Medicare,47,0.2978723404255319,0.39466747631127463,29.8%,39.5%
80+,M,OTHER,Medicare,195,0.29743589743589743,0.5266001648735429,29.7%,52.7%
80+,M,WHITE,Medicare,2495,0.2969939879759519,0.5396820451810811,29.7%,54.0%
65-79,M,WHITE - RUSSIAN,Medicare,51,0.29411764705882354,0.5625503786615424,29.4%,56.3%
80+,F,OTHER,Medicare,233,0.2875536480686695,0.5175167971716579,28.8%,51.8%
80+,F,WHITE,Medicare,2391,0.28565453785027184,0.5335428355715286,28.6%,53.4%
80+,M,ASIAN,Medicare,46,0.2826086956521739,0.6257838051505732,28.3%,62.6%
80+,F,OTHER,Medicaid,50,0.28,0.580773854247922,28.0%,58.1%
50-64,M,UNKNOWN,Medicare,115,0.2782608695652174,0.5697398827014127,27.8%,57.0%
<=49,M,UNKNOWN,Medicaid,149,0.2751677852348993,0.4449824247594363,27.5%,44.5%
80+,F,WHITE,Medicaid,48,0.2708333333333333,0.5770895877355803,27.1%,57.7%
65-79,F,WHITE,Medicaid,87,0.26436781609195403,0.5382595083155858,26.4%,53.8%
50-64,M,UNKNOWN,Private,217,0.2626728110599078,0.5169862678868967,26.3%,51.7%
80+,F,ASIAN - CHINESE,Medicare,35,0.2571428571428571,0.6101797290601492,25.7%,61.0%
65-79,M,UNKNOWN,Private,83,0.25301204819277107,0.5933465906023001,25.3%,59.3%
50-64,F,UNKNOWN,Private,99,0.25252525252525254,0.533599610378598,25.3%,53.4%
65-79,F,WHITE - OTHER EUROPEAN,Medicare,64,0.25,0.49661113860314576,25.0%,49.7%
65-79,F,BLACK/AFRICAN AMERICAN,Medicare,474,0.24261603375527427,0.4960235153751778,24.3%,49.6%
65-79,M,BLACK/AFRICAN AMERICAN,Medicare,335,0.2417910447761194,0.4615187212743892,24.2%,46.2%
50-64,M,OTHER,Medicare,162,0.24074074074074073,0.4071638816773223,24.1%,40.7%
<=49,F,UNKNOWN,Medicaid,88,0.23863636363636365,0.48781680647938325,23.9%,48.8%
80+,M,OTHER,Medicaid,34,0.23529411764705882,0.5356691360870759,23.5%,53.6%
50-64,F,UNKNOWN,Medicare,68,0.23529411764705882,0.5622851313346703,23.5%,56.2%
65-79,M,ASIAN - CHINESE,Medicare,35,0.22857142857142856,0.4770905247264406,22.9%,47.7%
50-64,M,BLACK/AFRICAN AMERICAN,Private,152,0.2236842105263158,0.4045124208524533,22.4%,40.5%
65-79,F,HISPANIC/LATINO - PUERTO RICAN,Medicare,37,0.21621621621621623,0.5513706897229999,21.6%,55.1%
80+,M,WHITE - OTHER EUROPEAN,Medicare,65,0.2153846153846154,0.5275126787478759,21.5%,52.8%
65-79,F,WHITE,Medicare,2674,0.20905011219147346,0.47258340808860794,20.9%,47.3%
65-79,M,WHITE - OTHER EUROPEAN,Medicare,121,0.2066115702479339,0.45068291574515823,20.7%,45.1%
65-79,M,HISPANIC/LATINO - PUERTO RICAN,Medicare,59,0.2033898305084746,0.45169606705925663,20.3%,45.2%
50-64,F,OTHER,Private,120,0.2,0.36747975973126895,20.0%,36.7%
65-79,M,OTHER,Medicare,405,0.2,0.4324745768393453,20.0%,43.2%
65-79,M,OTHER,Medicaid,75,0.2,0.41064573924784437,20.0%,41.1%
65-79,F,ASIAN - CHINESE,Medicare,40,0.2,0.5410431105490296,20.0%,54.1%
50-64,M,UNKNOWN,Other,40,0.2,0.4873100931699358,20.0%,48.7%
50-64,M,WHITE,Medicaid,716,0.19972067039106145,0.40849367802769765,20.0%,40.8%
50-64,F,WHITE,Medicaid,418,0.19856459330143542,0.40762620587791537,19.9%,40.8%
65-79,F,WHITE - RUSSIAN,Medicare,36,0.19444444444444445,0.5360983212274065,19.4%,53.6%
50-64,F,BLACK/AFRICAN AMERICAN,Medicare,144,0.19444444444444445,0.41193005738409766,19.4%,41.2%
65-79,M,WHITE,Medicare,3730,0.19168900804289543,0.4483056798633704,19.2%,44.8%
50-64,F,HISPANIC/LATINO - PUERTO RICAN,Medicaid,33,0.18181818181818182,0.3880625569818306,18.2%,38.8%
65-79,M,ASIAN,Medicare,61,0.18032786885245902,0.5291902215946653,18.0%,52.9%
65-79,M,WHITE,Other,51,0.17647058823529413,0.4614446787720314,17.6%,46.1%
50-64,M,WHITE,Medicare,983,0.17395727365208546,0.3953205453685005,17.4%,39.5%
50-64,M,OTHER,Medicaid,150,0.17333333333333334,0.4086367623833861,17.3%,40.9%
65-79,M,WHITE,Private,747,0.1713520749665328,0.41493644236146787,17.1%,41.5%
65-79,F,OTHER,Medicare,294,0.17006802721088435,0.46315502861696634,17.0%,46.3%
<=49,F,BLACK/AFRICAN AMERICAN,Medicare,77,0.16883116883116883,0.3089272695283484,16.9%,30.9%
50-64,F,WHITE,Other,95,0.16842105263157894,0.3678896785593958,16.8%,36.8%
50-64,F,WHITE,Private,1052,0.1682509505703422,0.36197944862243164,16.8%,36.2%
<=49,M,UNKNOWN,Private,161,0.16770186335403728,0.3443399608955131,16.8%,34.4%
50-64,F,OTHER,Medicare,98,0.16326530612244897,0.4137334490162023,16.3%,41.4%
65-79,M,WHITE,Medicaid,86,0.16279069767441862,0.45066424316340664,16.3%,45.1%
65-79,F,OTHER,Medicaid,68,0.16176470588235295,0.4768854286612815,16.2%,47.7%
50-64,F,BLACK/AFRICAN AMERICAN,Medicaid,154,0.15584415584415584,0.4199847173445317,15.6%,42.0%
50-64,F,WHITE,Medicare,601,0.15474209650582363,0.38912369914090944,15.5%,38.9%
65-79,M,BLACK/AFRICAN AMERICAN,Private,46,0.15217391304347827,0.4543905604995825,15.2%,45.4%
65-79,F,WHITE,Private,330,0.15151515151515152,0.42277506178619323,15.2%,42.3%
<=49,M,BLACK/AFRICAN AMERICAN,Medicare,53,0.1509433962264151,0.28061276129705853,15.1%,28.1%
50-64,M,WHITE - OTHER EUROPEAN,Private,54,0.14814814814814814,0.2935261058064397,14.8%,29.4%
50-64,M,WHITE,Private,1887,0.14043455219925807,0.33581023054591125,14.0%,33.6%
50-64,M,BLACK/AFRICAN AMERICAN,Medicaid,115,0.1391304347826087,0.3943207847425578,13.9%,39.4%
50-64,M,OTHER,Other,36,0.1388888888888889,0.2761300385969051,13.9%,27.6%
50-64,F,OTHER,Medicaid,130,0.13846153846153847,0.4314538486928299,13.8%,43.1%
50-64,M,WHITE,Other,148,0.13513513513513514,0.3167763038213036,13.5%,31.7%
<=49,M,WHITE,Medicaid,386,0.13471502590673576,0.2639905480558667,13.5%,26.4%
<=49,M,OTHER,Medicaid,174,0.13218390804597702,0.2480566324476831,13.2%,24.8%
<=49,M,BLACK/AFRICAN AMERICAN,Medicaid,94,0.1276595744680851,0.2856440531891508,12.8%,28.6%
65-79,F,BLACK/AFRICAN AMERICAN,Medicaid,55,0.12727272727272726,0.4851033523637074,12.7%,48.5%
50-64,F,BLACK/AFRICAN AMERICAN,Private,118,0.1271186440677966,0.3693847832469157,12.7%,36.9%
50-64,M,OTHER,Private,255,0.12549019607843137,0.3370153651635481,12.5%,33.7%
<=49,M,OTHER,Medicare,56,0.125,0.2568986693715701,12.5%,25.7%
<=49,F,BLACK/AFRICAN AMERICAN,Medicaid,130,0.12307692307692308,0.2827349769895471,12.3%,28.3%
65-79,F,BLACK/AFRICAN AMERICAN,Private,34,0.11764705882352941,0.40157729248954327,11.8%,40.2%
50-64,M,WHITE,UNKNOWN,43,0.11627906976744186,0.4516572556121312,11.6%,45.2%
50-64,M,BLACK/AFRICAN AMERICAN,Medicare,155,0.11612903225806452,0.3931906206949419,11.6%,39.3%
<=49,M,WHITE,UNKNOWN,69,0.11594202898550725,0.28251279106897975,11.6%,28.3%
<=49,M,WHITE,Other,78,0.11538461538461539,0.22296806420458637,11.5%,22.3%
<=49,M,WHITE,Medicare,275,0.11272727272727273,0.2588785048595724,11.3%,25.9%
<=49,F,BLACK/AFRICAN AMERICAN,Private,71,0.11267605633802817,0.2116348618957159,11.3%,21.2%
<=49,M,UNKNOWN,Other,36,0.1111111111111111,0.3065491465682768,11.1%,30.7%
<=49,M,WHITE,Private,631,0.10935023771790808,0.2207642620423311,10.9%,22.1%
<=49,M,OTHER,Private,158,0.10759493670886076,0.17069388312409528,10.8%,17.1%
<=49,F,OTHER,Medicaid,112,0.10714285714285714,0.2227353878274377,10.7%,22.3%
65-79,M,OTHER,Private,80,0.1,0.3880659588160856,10.0%,38.8%
<=49,F,WHITE,Medicaid,318,0.09433962264150944,0.26908933009478725,9.4%,26.9%
<=49,F,WHITE,Medicare,181,0.09392265193370165,0.2733508058690024,9.4%,27.3%
<=49,M,OTHER,Other,64,0.09375,0.17284075406371477,9.4%,17.3%
<=49,M,HISPANIC/LATINO - PUERTO RICAN,Medicaid,43,0.09302325581395349,0.30222553680094405,9.3%,30.2%
50-64,M,UNABLE TO OBTAIN,Private,49,0.08163265306122448,0.31930437167894393,8.2%,31.9%
<=49,F,OTHER,Private,86,0.08139534883720931,0.20450547649449816,8.1%,20.5%
<=49,F,WHITE,Private,415,0.07228915662650602,0.23030347035326715,7.2%,23.0%
<=49,M,BLACK/AFRICAN AMERICAN,Private,60,0.03333333333333333,0.1931779724212576,3.3%,19.3%
50-64,M,BLACK/AFRICAN AMERICAN,Other,30,0.0,0.38569769512575325,0.0%,38.6%
